message_key,message_text,locale,deleted,version
msg.signin,Sign In,en_US,FALSE,0
msg.signin,Se connecter,fr_FR,FALSE,0
msg.signin,à¤¸à¤¾à¤‡à¤¨ à¤‡à¤¨ à¤•à¤°à¥‡à¤‚,hi_IN,FALSE,0
msg.recoverPasswd,Recover Password,en_US,FALSE,0
msg.recoverPasswd,RÃ©cupÃ©rer mot de passe,fr_FR,FALSE,0
msg.recoverPasswd,à¤—à¥‹à¤ªà¤¨à¥€à¤¯ à¤¶à¤¬à¥�à¤¦ à¤ªà¥�à¤¨ à¤ªà¥�à¤°à¤¾à¤ªà¥�à¤¤ à¤•à¤°à¥‡,hi_IN,FALSE,0
msg.createNew,Create New Account,en_US,FALSE,0
msg.createNew,CrÃ©er un nouveau compte,fr_FR,FALSE,0
msg.createNew,à¤¨à¤¯à¤¾ à¤–à¤¾à¤¤à¤¾ à¤¬à¤¨à¤¾à¤�à¤�,hi_IN,FALSE,0
msg.email,Email,en_US,FALSE,0
msg.email,Email,fr_FR,FALSE,0
msg.email,à¤ˆà¤®à¥‡à¤²,hi_IN,FALSE,0
msg.password,Password,en_US,FALSE,0
msg.password,Mot de passe,fr_FR,FALSE,0
msg.password,à¤ªà¤¾à¤¸à¤µà¤°à¥�à¤¡,hi_IN,FALSE,0
msg.form.first_name,First Name,en_US,FALSE,0
msg.form.first_name,PrÃ©nom,fr_FR,FALSE,0
msg.form.first_name,à¤ªà¤¹à¤²à¤¾ à¤¨à¤¾à¤®,hi_IN,FALSE,0
msg.form.last_name,Last Name,en_US,FALSE,0
msg.form.company,Company,en_US,FALSE,0
msg.form.email,Email,en_US,FALSE,0
msg.form.phone,Phone,en_US,FALSE,0
msg.form.mobile,Mobile,en_US,FALSE,0
msg.form.fax,Fax,en_US,FALSE,0
msg.form.lead_source,Lead Source,en_US,FALSE,0
msg.form.lead_status,Lead Status,en_US,FALSE,0
msg.form.industry,Industry,en_US,FALSE,0
msg.form.designation,Designation,en_US,FALSE,0
msg.form.website,Website,en_US,FALSE,0
msg.form.annual_revenue,Annual Revenue,en_US,FALSE,0
msg.form.no_of_emp,No Of Employees,en_US,FALSE,0
msg.form.twitter,Twitter,en_US,FALSE,0
msg.form.facebook,Facebook,en_US,FALSE,0
msg.form.email_opt_put,Email Opt Out,en_US,FALSE,0
msg.form.dummy,dummy,en_US,FALSE,0
msg.form.street,Street,en_US,FALSE,0
msg.form.zip,Zip,en_US,FALSE,0
msg.form.po_box,PO Box,en_US,FALSE,0
msg.form.state,State,en_US,FALSE,0
msg.form.city,City,en_US,FALSE,0
msg.form.country,Country,en_US,FALSE,0
msg.form.description,Description,en_US,FALSE,0
msg.form.save,Save,en_US,FALSE,0
msg.form.back,Back,en_US,FALSE,0
msg.form.new,New,en_US,FALSE,0
msg.form.edit,Edit,en_US,FALSE,0
msg.form.copy,Copy,en_US,FALSE,0
msg.form.delete,Delete,en_US,FALSE,0
msg.form.convert,Convert,en_US,FALSE,0
msg.form.account.name,Name,en_US,FALSE,0
msg.form.account.phone,Phone,en_US,FALSE,0
msg.form.account.secondary_phone,Phone,en_US,FALSE,0
msg.form.account.secondary_email,Secondary Email,en_US,FALSE,0
msg.form.account.assigned_user,Assigned User,en_US,FALSE,0
msg.form.account.website,Website,en_US,FALSE,0
msg.form.contact.home_phone,Home Phone,en_US,FALSE,0
msg.form.contact.dob,Date of Birth,en_US,FALSE,0
msg.form.title,Title,en_US,FALSE,0
msg.form.contact.salutation,Salutation,en_US,FALSE,0
msg.form.contact.department,Department,en_US,FALSE,0
msg.form.contact.lead_source,Lead Source,en_US,FALSE,0
msg.form.contact.donot_call,Donot call,en_US,FALSE,0
msg.form.contact.contact_type,Contact Type,en_US,FALSE,0
msg.form.contact.contact_status,Contact Status,en_US,FALSE,0
msg.form.status,Status,en_US,FALSE,0
msg.form.summary,Summary,en_US,FALSE,0
msg.form.priority,Priority,en_US,FALSE,0
msg.form.contact_id,Contact ID,en_US,FALSE,0
msg.form.account_id,Account ID,en_US,FALSE,0
msg.form.product_id,Product ID,en_US,FALSE,0
msg.form.channel_id,Channel_ID,en_US,FALSE,0
msg.form.resolution,Resolution,en_US,FALSE,0
msg.form.primary_email,Primary Email,en_US,FALSE,0
msg.form.category_id,Category ID,en_US,FALSE,0
msg.form.sub_category_id,Sub Category ID,en_US,FALSE,0
msg.form.resolution_type_id,Resolution Type ID,en_US,FALSE,0
msg.form.deffered_date,Deffered Date,en_US,FALSE,0
msg.form.file_name,File Name,en_US,FALSE,0
msg.form.mime,Mime,en_US,FALSE,0
msg.form.size,Size,en_US,FALSE,0
msg.form.amount,Amount,en_US,FALSE,0
msg.form.contact,Contact,en_US,FALSE,0
msg.form.expected_close,Expected Close,en_US,FALSE,0
msg.form.sales_stage_id,Sales Stage Id,en_US,FALSE,0
msg.form.nextstep,Next Step,en_US,FALSE,0
msg.form.opportunity_type_id,Opportunity Type Id,en_US,FALSE,0
msg.form.probablity,Probablity,en_US,FALSE,0
msg.form.forecast_amount,Forecast Amount,en_US,FALSE,0
msg.form.lost_reason_id,Lost Reason Id,en_US,FALSE,0
msg.form.owner,Owner,en_US,FALSE,0
msg.form.product_code,Product Code,en_US,FALSE,0
msg.form.active,Active,en_US,FALSE,0
msg.form.vendor_name,Vendor Name,en_US,FALSE,0
msg.form.product_category,Product Category,en_US,FALSE,0
msg.form.sales_startdate,Sales StartDate,en_US,FALSE,0
msg.form.sales_enddate,Sales EndDate,en_US,FALSE,0
msg.form.commisson_rate,Commisson Rate,en_US,FALSE,0
msg.form.manufacturer,Manufacturer,en_US,FALSE,0
msg.form.unit_price,Unit Price,en_US,FALSE,0
msg.form.taxable,Taxable,en_US,FALSE,0
msg.form.support_startdate,Support StartDate,en_US,FALSE,0
msg.form.support_enddate,Support EndDate,en_US,FALSE,0
msg.form.usage_unit,Usage Unit,en_US,FALSE,0
msg.form.qty_ordered,Qty Ordered,en_US,FALSE,0
msg.form.qty_instock,Qty InStock,en_US,FALSE,0
msg.form.reorder_level,Reorder Level ,en_US,FALSE,0
msg.form.handler,Handler,en_US,FALSE,0
msg.form.qty_in_demand,Qty In Demand,en_US,FALSE,0
msg.form.primary_phone,Primary Phone,en_US,FALSE,0
msg.form.gl_account_id,GL_ACCOUNT_ID,en_US,FALSE,0
msg.form.category,Category,en_US,FALSE,0
msg.form.assignedtouser,assignedToUser,en_US,FALSE,0
msg.list.case.label,Cases,en_US,FALSE,0
msg.list.summary,Summary,en_US,FALSE,0
msg.list.title,Title,en_US,FALSE,0
msg.list.status,Status,en_US,FALSE,0
msg.list.button.new,New,en_US,FALSE,0
msg.list.button.edit,Edit,en_US,FALSE,0
msg.list.button.delete,Delete,en_US,FALSE,0
msg.list.desc.services,Active Services,en_US,FALSE,0
msg.list.label.services,Services,en_US,FALSE,0
msg.list.service.name,Name,en_US,FALSE,0
msg.list.service.owner,Owner,en_US,FALSE,0
msg.page.service.new,New Service,en_US,FALSE,0
msg.page.service.details,Service Details,en_US,FALSE,0
msg.page.service.edit,Service Edit,en_US,FALSE,0
msg.page.service.details.recycle,Service Details - Recycle Bin,en_US,FALSE,0
msg.page.service.list,Services,en_US,FALSE,0
msg.page.service.copy,Service Copy,en_US,FALSE,0

msg.form.service.new,New Service,en_US,FALSE,0
msg.form.service.detail,Service Details,en_US,FALSE,0
msg.form.service.edit,Service Edit,en_US,FALSE,0


msg.form.button.service.save,Save,en_US,FALSE,0
msg.form.button.service.list,List,en_US,FALSE,0
msg.form.button.service.new,New,en_US,FALSE,0
msg.form.button.service.edit,Edit,en_US,FALSE,0
msg.form.button.service.copy,Copy,en_US,FALSE,0
msg.form.button.service.delete,Delete,en_US,FALSE,0
msg.form.service.details,Service Details,en_US,FALSE,0
msg.form.service.active,Active,en_US,FALSE,0
msg.form.service.name,Name,en_US,FALSE,0
msg.form.service.category,Category,en_US,FALSE,0
msg.form.service.usageUnit,Usage Unit,en_US,FALSE,0
msg.form.service.owner,Owner,en_US,FALSE,0
msg.form.service.noOfUnits,# of Units,en_US,FALSE,0
msg.form.service.salesStartDate,Sales Start,en_US,FALSE,0
msg.form.service.salesEndDate,Sales End,en_US,FALSE,0
msg.form.service.supportStartDate,Support Start,en_US,FALSE,0
msg.form.service.supportEndDate,Support End,en_US,FALSE,0
msg.form.service.commissonRate,Commission Rate,en_US,FALSE,0
msg.form.service.website,Website,en_US,FALSE,0
